Index,HF,AST,HTAG,AwayTeam,AR,HC,HTHG,AS,HS,HY,WHD,HST,AF,FTAG,AY,WHH,HTR,IWA,IWD,AC,FTR,IWH,HomeTeam,WHA,FTHG,Referee,Div,HR,Date,SeasonDate
57,9,4,0,Portsmouth,0,7,1,6,11,2,3,2,6,0,2,1.83,H,4,3.2,3,H,1.75,Bolton,4,1,M Clattenburg,E0,0,24/09/05,2005
58,8,2,1,Aston Villa,0,9,1,3,18,1,5,6,17,1,1,1.2,D,8.5,4.3,1,H,1.27,Chelsea,11,2,B Knight,E0,0,24/09/05,2005
59,17,3,0,Wigan,0,11,0,11,14,2,3,7,21,1,1,1.83,D,3.6,3.1,3,A,1.85,Everton,4,0,R Styles,E0,0,24/09/05,2005
60,13,10,1,Blackburn,0,7,0,10,27,1,3.75,8,15,2,3,1.33,A,7.5,4,1,A,1.33,Man United,9,1,P Dowd,E0,0,24/09/05,2005
61,14,4,0,Man City,0,3,1,8,8,0,3,6,14,0,2,2.15,H,3.2,3.1,6,H,2,Newcastle,3.1,1,G Poll,E0,0,24/09/05,2005
62,10,4,2,Charlton,0,6,0,8,18,0,3,10,12,2,1,2.7,A,2.4,3,3,A,2.6,West Brom,2.37,1,C Foy,E0,0,24/09/05,2005
63,11,2,0,Arsenal,0,4,0,8,6,2,3.3,0,7,0,0,4.5,D,1.7,3.2,3,D,4.2,West Ham,1.66,0,M Dean,E0,0,24/09/05,2005
64,13,2,1,Sunderland,0,8,0,4,20,3,3.3,11,21,2,2,1.53,A,4.8,3.5,2,A,1.55,Middlesbrough,6,0,H Webb,E0,0,25/09/05,2005
65,10,5,0,Fulham,0,6,1,8,9,0,3.3,4,9,0,3,1.57,H,4.4,3.3,6,H,1.65,Tottenham,5.5,1,A Wiley,E0,0,26/09/05,2005
66,15,3,0,West Brom,0,11,0,6,20,2,3.1,11,17,0,0,1.72,D,3.6,3.1,1,H,1.85,Blackburn,4.5,2,U Rennie,E0,0,01/10/05,2005
67,15,7,0,Tottenham,0,1,1,13,9,3,3.2,4,17,3,2,2.3,H,2.8,3,6,A,2.4,Charlton,2.62,2,P Dowd,E0,0,01/10/05,2005
68,20,7,3,Man United,0,3,2,11,11,2,3.3,6,11,3,1,5.5,A,1.7,3.2,9,A,4.6,Fulham,1.57,2,H Webb,E0,0,01/10/05,2005
69,12,3,0,Newcastle,0,4,0,6,10,1,3.1,6,12,0,2,2.62,D,2.4,3,4,D,2.6,Portsmouth,2.37,0,S Bennett,E0,0,01/10/05,2005
70,12,3,0,West Ham,0,5,1,6,16,1,3.1,8,15,1,5,2.5,H,2.6,3,3,D,2.4,Sunderland,2.5,1,M Atkinson,E0,0,01/10/05,2005
71,13,2,0,Birmingham,1,11,0,2,16,0,4.33,13,17,0,1,1.28,D,7,4,4,H,1.35,Arsenal,8.5,1,C Foy,E0,0,02/10/05,2005
72,17,10,1,Middlesbrough,0,6,0,13,13,4,3,6,10,3,1,2.1,A,3.1,3,5,A,2.2,Aston Villa,3.2,2,M Dean,E0,0,02/10/05,2005
73,15,5,2,Chelsea,0,4,1,7,11,1,3,5,17,4,3,3.1,A,2.3,2.8,2,A,3.2,Liverpool,2.15,1,G Poll,E0,0,02/10/05,2005
74,16,4,0,Everton,0,4,0,5,14,1,3.25,5,10,0,0,1.72,D,4,3.2,2,H,1.75,Man City,4.2,2,M Halsey,E0,0,02/10/05,2005
75,11,4,0,Bolton,0,4,0,13,16,0,3.1,9,14,1,2,2.6,D,2.6,3,8,H,2.6,Wigan,2.4,2,A Wiley,E0,0,02/10/05,2005
76,10,2,1,Bolton,1,5,0,4,17,2,4.5,8,17,1,2,1.25,A,8,4.2,3,H,1.3,Chelsea,10,5,R Styles,E0,0,15/10/05,2005
77,8,1,0,Blackburn,1,9,0,4,19,0,3.3,5,22,0,3,1.57,D,5,3.5,2,H,1.6,Liverpool,5.5,1,M Halsey,E0,0,15/10/05,2005
78,12,4,0,Portsmouth,0,6,0,9,14,2,3.1,7,12,1,3,1.66,D,4.2,3.2,3,D,1.7,Middlesbrough,5,1,C Foy,E0,0,15/10/05,2005
79,12,9,1,Man United,0,4,0,15,11,3,3.6,6,10,3,1,7.5,A,1.55,3.5,5,A,5.6,Sunderland,1.4,1,S Bennett,E0,0,15/10/05,2005
80,13,4,0,Everton,0,5,0,8,7,0,3.3,5,9,0,2,1.57,D,4.6,3.4,8,H,1.6,Tottenham,5.5,2,D Gallagher,E0,0,15/10/05,2005
81,23,10,1,Arsenal,0,3,1,14,5,1,3.4,4,10,1,2,6,D,1.55,3.5,6,H,5.6,West Brom,1.5,2,B Knight,E0,0,15/10/05,2005
82,15,7,0,Newcastle,0,6,1,11,12,2,2.9,6,20,0,3,2.62,H,2.5,3,5,H,2.5,Wigan,2.5,1,P Dowd,E0,1,15/10/05,2005
83,13,1,1,Aston Villa,0,11,0,4,8,2,2.8,5,19,1,2,2.37,A,2.8,3,5,A,2.4,Birmingham,2.9,0,G Poll,E0,0,16/10/05,2005
84,11,3,0,West Ham,0,9,1,6,22,2,2.87,17,13,1,0,1.9,H,3.5,3.1,3,H,1.9,Man City,4,2,M Clattenburg,E0,0,16/10/05,2005
85,19,1,1,Fulham,0,6,0,13,14,2,3.2,3,19,1,3,1.72,A,4,3.2,1,D,1.75,Charlton,4.33,1,M Riley,E0,0,17/10/05,2005
86,24,4,0,Man City,0,4,0,7,4,3,3.25,2,17,0,5,1.44,D,5.7,3.7,3,H,1.5,Arsenal,8,1,M Riley,E0,0,22/10/05,2005
87,12,6,1,Wigan,0,9,0,6,16,0,3.1,5,13,2,0,1.9,A,3.1,3,5,A,2.1,Aston Villa,3.6,0,R Beeby,E0,0,22/10/05,2005
88,22,2,0,Birmingham,0,3,0,3,11,0,3,5,17,0,3,2.05,D,3.2,3.1,9,H,2,Blackburn,3.3,2,B Knight,E0,0,22/10/05,2005
89,9,6,0,Liverpool,0,3,1,14,6,0,3,3,14,0,2,3.2,H,2.2,3,8,H,3.1,Fulham,2.1,2,M Atkinson,E0,0,22/10/05,2005
90,15,7,0,Tottenham,0,7,1,9,13,2,3.4,9,12,1,3,1.5,H,5.4,3.6,8,D,1.55,Man United,6,1,U Rennie,E0,0,22/10/05,2005
91,10,7,0,Charlton,0,6,1,11,15,2,3.1,6,15,2,3,2.6,H,2.5,3,5,A,2.5,Portsmouth,2.4,1,H Webb,E0,0,22/10/05,2005
92,13,1,0,West Brom,0,10,0,2,19,2,3.2,12,16,0,2,1.7,D,4.2,3.2,1,H,1.7,Bolton,4.5,2,M Dean,E0,0,23/10/05,2005
93,14,12,0,Chelsea,0,3,1,24,4,2,4.2,4,14,1,2,8.5,H,1.35,4.2,11,D,7.5,Everton,1.3,1,M Clattenburg,E0,0,23/10/05,2005
94,12,5,2,Sunderland,0,5,2,10,12,2,3.1,9,13,2,2,1.61,D,4.4,3.3,3,H,1.65,Newcastle,5.5,3,R Styles,E0,0,23/10/05,2005
95,11,9,0,Middlesbrough,0,4,0,19,15,1,3.2,8,9,1,2,2.2,D,2.7,3,7,H,2.3,West Ham,2.8,2,S Bennett,E0,0,23/10/05,2005
96,11,6,1,Everton,0,8,0,11,18,0,3,8,15,1,1,2.2,A,3.1,3,6,A,2.1,Birmingham,3,0,R Styles,E0,0,29/10/05,2005
97,11,7,0,Bolton,0,4,0,11,7,1,3.1,4,13,1,0,2.1,D,3.2,3.1,2,A,2,Charlton,3.1,0,M Clattenburg,E0,0,29/10/05,2005
98,12,4,2,Blackburn,0,5,2,6,19,1,5.5,10,19,2,5,1.16,D,8.5,4.3,2,H,1.27,Chelsea,12,4,M Riley,E0,0,29/10/05,2005
99,15,2,0,West Ham,0,10,1,4,17,2,3.4,9,13,0,0,1.5,H,5,3.3,5,H,1.65,Liverpool,6,2,U Rennie,E0,0,29/10/05,2005
100,14,8,0,Man United,0,2,3,13,7,1,3.2,4,22,1,4,4.33,H,1.85,3.1,6,H,4,Middlesbrough,1.72,4,A Wiley,E0,0,29/10/05,2005
