league,SeasonDate,rank,team
prem_league,2009,2,Manchester United
prem_league,2009,3,Arsenal
prem_league,2009,4,Tottenham Hotspur
prem_league,2009,5,Manchester City
prem_league,2009,6,Aston Villa
prem_league,2009,7,Liverpool
prem_league,2009,8,Everton
prem_league,2009,9,Birmingham City
prem_league,2009,10,Blackburn Rovers
prem_league,2009,11,Stoke City
prem_league,2009,12,Fulham
prem_league,2009,13,Sunderland
prem_league,2009,14,Bolton Wanderers
prem_league,2009,15,Wolverhampton Wanderes
prem_league,2009,16,Wigan Athletic
prem_league,2009,17,West Ham United
prem_league,2009,18,Burnley
prem_league,2009,19,Hull City
prem_league,2009,20,Portsmouth
prem_league,2008,1,Manchester United
prem_league,2008,2,Liverpool
prem_league,2008,3,Chelsea
prem_league,2008,4,Arsenal
prem_league,2008,5,Everton
prem_league,2008,6,Aston Villa
prem_league,2008,7,Fulham
prem_league,2008,8,Tottenham Hotspur
prem_league,2008,9,West Ham United
prem_league,2008,10,Manchester City
prem_league,2008,11,Wigan Athletic
prem_league,2008,12,Stoke City
prem_league,2008,13,Bolton Wanderers
prem_league,2008,14,Portsmouth
prem_league,2008,15,Blackburn Rovers
prem_league,2008,16,Sunderland
prem_league,2008,17,Hull City
prem_league,2008,18,Newcastle United
prem_league,2008,19,Middlesbrough
prem_league,2008,20,West Bromwich Albion
