,HTAG,HF,FTR,FTAG,AY,AR,HST,HS,Date,AC,AF,HR,FTHG,IWA,HC,AwayTeam,HTHG,IWD,Div,WHH,WHD,IWH,AS,HTR,HY,WHA,AST,Referee,HomeTeam,SeasonDate
60,1,13,A,2,3,0,8,27,24/09/05,1,15,0,1,7.5,7,Blackburn,0,4,E0,1.33,3.75,1.33,10,A,1,9,10,P Dowd,Man United,2005
61,0,14,H,0,2,0,6,8,24/09/05,6,14,0,1,3.2,3,Man City,1,3.1,E0,2.15,3,2,8,H,0,3.1,4,G Poll,Newcastle,2005
62,2,10,A,2,1,0,10,18,24/09/05,3,12,0,1,2.4,6,Charlton,0,3,E0,2.7,3,2.6,8,A,0,2.37,4,C Foy,West Brom,2005
63,0,11,D,0,0,0,0,6,24/09/05,3,7,0,0,1.7,4,Arsenal,0,3.2,E0,4.5,3.3,4.2,8,D,2,1.66,2,M Dean,West Ham,2005
64,1,13,A,2,2,0,11,20,25/09/05,2,21,0,0,4.8,8,Sunderland,0,3.5,E0,1.53,3.3,1.55,4,A,3,6,2,H Webb,Middlesbrough,2005
65,0,10,H,0,3,0,4,9,26/09/05,6,9,0,1,4.4,6,Fulham,1,3.3,E0,1.57,3.3,1.65,8,H,0,5.5,5,A Wiley,Tottenham,2005
66,0,15,H,0,0,0,11,20,01/10/05,1,17,0,2,3.6,11,West Brom,0,3.1,E0,1.72,3.1,1.85,6,D,2,4.5,3,U Rennie,Blackburn,2005
67,0,15,A,3,2,0,4,9,01/10/05,6,17,0,2,2.8,1,Tottenham,1,3,E0,2.3,3.2,2.4,13,H,3,2.62,7,P Dowd,Charlton,2005
68,3,20,A,3,1,0,6,11,01/10/05,9,11,0,2,1.7,3,Man United,2,3.2,E0,5.5,3.3,4.6,11,A,2,1.57,7,H Webb,Fulham,2005
69,0,12,D,0,2,0,6,10,01/10/05,4,12,0,0,2.4,4,Newcastle,0,3,E0,2.62,3.1,2.6,6,D,1,2.37,3,S Bennett,Portsmouth,2005
70,0,12,D,1,5,0,8,16,01/10/05,3,15,0,1,2.6,5,West Ham,1,3,E0,2.5,3.1,2.4,6,H,1,2.5,3,M Atkinson,Sunderland,2005
71,0,13,H,0,1,1,13,16,02/10/05,4,17,0,1,7,11,Birmingham,0,4,E0,1.28,4.33,1.35,2,D,0,8.5,2,C Foy,Arsenal,2005
72,1,17,A,3,1,0,6,13,02/10/05,5,10,0,2,3.1,6,Middlesbrough,0,3,E0,2.1,3,2.2,13,A,4,3.2,10,M Dean,Aston Villa,2005
73,2,15,A,4,3,0,5,11,02/10/05,2,17,0,1,2.3,4,Chelsea,1,2.8,E0,3.1,3,3.2,7,A,1,2.15,5,G Poll,Liverpool,2005
74,0,16,H,0,0,0,5,14,02/10/05,2,10,0,2,4,4,Everton,0,3.2,E0,1.72,3.25,1.75,5,D,1,4.2,4,M Halsey,Man City,2005
75,0,11,H,1,2,0,9,16,02/10/05,8,14,0,2,2.6,4,Bolton,0,3,E0,2.6,3.1,2.6,13,D,0,2.4,4,A Wiley,Wigan,2005
76,1,10,H,1,2,1,8,17,15/10/05,3,17,0,5,8,5,Bolton,0,4.2,E0,1.25,4.5,1.3,4,A,2,10,2,R Styles,Chelsea,2005
77,0,8,H,0,3,1,5,19,15/10/05,2,22,0,1,5,9,Blackburn,0,3.5,E0,1.57,3.3,1.6,4,D,0,5.5,1,M Halsey,Liverpool,2005
78,0,12,D,1,3,0,7,14,15/10/05,3,12,0,1,4.2,6,Portsmouth,0,3.2,E0,1.66,3.1,1.7,9,D,2,5,4,C Foy,Middlesbrough,2005
79,1,12,A,3,1,0,6,11,15/10/05,5,10,0,1,1.55,4,Man United,0,3.5,E0,7.5,3.6,5.6,15,A,3,1.4,9,S Bennett,Sunderland,2005
80,0,13,H,0,2,0,5,7,15/10/05,8,9,0,2,4.6,5,Everton,0,3.4,E0,1.57,3.3,1.6,8,D,0,5.5,4,D Gallagher,Tottenham,2005
81,1,23,H,1,2,0,4,5,15/10/05,6,10,0,2,1.55,3,Arsenal,1,3.5,E0,6,3.4,5.6,14,D,1,1.5,10,B Knight,West Brom,2005
82,0,15,H,0,3,0,6,12,15/10/05,5,20,1,1,2.5,6,Newcastle,1,3,E0,2.62,2.9,2.5,11,H,2,2.5,7,P Dowd,Wigan,2005
83,1,13,A,1,2,0,5,8,16/10/05,5,19,0,0,2.8,11,Aston Villa,0,3,E0,2.37,2.8,2.4,4,A,2,2.9,1,G Poll,Birmingham,2005
84,0,11,H,1,0,0,17,22,16/10/05,3,13,0,2,3.5,9,West Ham,1,3.1,E0,1.9,2.87,1.9,6,H,2,4,3,M Clattenburg,Man City,2005
85,1,19,D,1,3,0,3,14,17/10/05,1,19,0,1,4,6,Fulham,0,3.2,E0,1.72,3.2,1.75,13,A,2,4.33,1,M Riley,Charlton,2005
86,0,24,H,0,5,0,2,4,22/10/05,3,17,0,1,5.7,4,Man City,0,3.7,E0,1.44,3.25,1.5,7,D,3,8,4,M Riley,Arsenal,2005
87,1,12,A,2,0,0,5,16,22/10/05,5,13,0,0,3.1,9,Wigan,0,3,E0,1.9,3.1,2.1,6,A,0,3.6,6,R Beeby,Aston Villa,2005
88,0,22,H,0,3,0,5,11,22/10/05,9,17,0,2,3.2,3,Birmingham,0,3.1,E0,2.05,3,2,3,D,0,3.3,2,B Knight,Blackburn,2005
89,0,9,H,0,2,0,3,6,22/10/05,8,14,0,2,2.2,3,Liverpool,1,3,E0,3.2,3,3.1,14,H,0,2.1,6,M Atkinson,Fulham,2005
90,0,15,D,1,3,0,9,13,22/10/05,8,12,0,1,5.4,7,Tottenham,1,3.6,E0,1.5,3.4,1.55,9,H,2,6,7,U Rennie,Man United,2005
91,0,10,A,2,3,0,6,15,22/10/05,5,15,0,1,2.5,6,Charlton,1,3,E0,2.6,3.1,2.5,11,H,2,2.4,7,H Webb,Portsmouth,2005
92,0,13,H,0,2,0,12,19,23/10/05,1,16,0,2,4.2,10,West Brom,0,3.2,E0,1.7,3.2,1.7,2,D,2,4.5,1,M Dean,Bolton,2005
93,0,14,D,1,2,0,4,4,23/10/05,11,14,0,1,1.35,3,Chelsea,1,4.2,E0,8.5,4.2,7.5,24,H,2,1.3,12,M Clattenburg,Everton,2005
94,2,12,H,2,2,0,9,12,23/10/05,3,13,0,3,4.4,5,Sunderland,2,3.3,E0,1.61,3.1,1.65,10,D,2,5.5,5,R Styles,Newcastle,2005
95,0,11,H,1,2,0,8,15,23/10/05,7,9,0,2,2.7,4,Middlesbrough,0,3,E0,2.2,3.2,2.3,19,D,1,2.8,9,S Bennett,West Ham,2005
96,1,11,A,1,1,0,8,18,29/10/05,6,15,0,0,3.1,8,Everton,0,3,E0,2.2,3,2.1,11,A,0,3,6,R Styles,Birmingham,2005
97,0,11,A,1,0,0,4,7,29/10/05,2,13,0,0,3.2,4,Bolton,0,3.1,E0,2.1,3.1,2,11,D,1,3.1,7,M Clattenburg,Charlton,2005
98,2,12,H,2,5,0,10,19,29/10/05,2,19,0,4,8.5,5,Blackburn,2,4.3,E0,1.16,5.5,1.27,6,D,1,12,4,M Riley,Chelsea,2005
99,0,15,H,0,0,0,9,17,29/10/05,5,13,0,2,5,10,West Ham,1,3.3,E0,1.5,3.4,1.65,4,H,2,6,2,U Rennie,Liverpool,2005
100,0,14,H,1,4,0,4,7,29/10/05,6,22,0,4,1.85,2,Man United,3,3.1,E0,4.33,3.2,4,13,H,1,1.72,8,A Wiley,Middlesbrough,2005
101,0,11,A,4,1,0,2,5,29/10/05,2,9,0,1,2.9,11,Portsmouth,1,3,E0,2.3,3.1,2.2,5,H,0,2.75,5,M Halsey,Sunderland,2005
102,0,18,D,1,2,0,3,11,29/10/05,1,13,0,1,2.4,6,Arsenal,1,3,E0,2.75,2.9,2.8,10,H,4,2.4,7,S Bennett,Tottenham,2005
103,0,11,H,0,1,0,6,12,29/10/05,3,7,0,1,3.5,6,Fulham,0,3.1,E0,1.9,3.1,1.9,7,D,1,3.6,1,A Marriner,Wigan,2005
104,0,9,A,3,1,0,4,8,30/10/05,4,14,0,0,2.5,9,Newcastle,0,3,E0,2.75,3.1,2.7,11,D,0,2.3,8,H Webb,West Brom,2005
105,0,17,H,1,1,0,5,13,31/10/05,6,10,0,3,4,2,Aston Villa,2,3.1,E0,1.83,3,1.85,11,H,1,4,5,D Gallagher,Man City,2005
106,0,11,H,1,1,0,9,12,05/11/05,6,13,0,3,9,4,Sunderland,2,4.5,E0,1.14,6,1.25,1,H,0,12,1,A Wiley,Arsenal,2005
107,0,16,A,2,2,0,2,6,05/11/05,5,11,0,0,2.2,3,Liverpool,0,3,E0,3,2.87,3.1,10,D,2,2.25,6,S Bennett,Aston Villa,2005
108,1,9,H,1,2,0,3,9,05/11/05,9,15,0,4,2.6,7,Charlton,2,3,E0,2.4,3.1,2.4,10,H,0,2.6,9,P Dowd,Blackburn,2005
109,1,10,H,1,3,0,5,9,05/11/05,2,16,0,2,2.6,4,Man City,2,3,E0,2.4,3.1,2.4,4,H,1,2.6,2,R Styles,Fulham,2005
110,0,20,H,0,2,0,5,10,05/11/05,2,18,0,1,4.8,3,Birmingham,0,3.5,E0,1.53,3.5,1.55,9,D,3,5.5,3,M Dean,Newcastle,2005
111,0,11,A,2,2,0,4,7,05/11/05,8,13,0,0,2.6,5,Wigan,0,3,E0,2.2,3.1,2.4,7,D,1,2.87,5,M Clattenburg,Portsmouth,2005
112,0,15,H,0,0,0,6,10,05/11/05,5,12,0,1,3.8,8,West Brom,0,3.1,E0,1.7,3.3,1.8,10,D,2,4.33,6,P Walton,West Ham,2005
113,0,21,H,0,1,0,8,12,06/11/05,3,16,0,1,2.7,9,Middlesbrough,1,3,E0,2.5,3.1,2.5,17,H,2,2.5,9,M Riley,Everton,2005
114,0,19,H,0,4,0,5,10,06/11/05,9,14,0,1,2.3,5,Chelsea,1,3,E0,3.1,3,3,21,H,3,2.15,11,G Poll,Man United,2005
115,0,13,H,0,1,0,8,9,07/11/05,5,9,0,1,2.7,6,Tottenham,1,3,E0,2.5,2.9,2.5,9,H,0,2.62,7,H Webb,Bolton,2005
116,1,13,A,3,2,0,11,18,19/11/05,3,11,0,1,1.85,4,Man United,0,3.1,E0,4.33,3.2,4,13,A,0,1.72,7,M Riley,Charlton,2005
117,0,12,H,0,1,0,4,12,19/11/05,5,13,0,3,7,3,Newcastle,0,4,E0,1.33,4,1.35,3,D,2,8,2,M Halsey,Chelsea,2005
118,0,7,H,0,1,0,11,15,19/11/05,6,8,0,3,6.5,7,Portsmouth,2,4,E0,1.36,3.75,1.4,7,H,1,8,5,P Walton,Liverpool,2005
119,0,7,D,0,4,0,4,12,19/11/05,4,15,0,0,3.2,4,Blackburn,0,3.1,E0,1.83,3.2,2,5,D,2,3.75,4,M Atkinson,Man City,2005
120,0,10,A,3,1,0,6,8,19/11/05,5,13,0,1,2.5,6,Aston Villa,0,3,E0,2.62,3.1,2.5,16,D,2,2.37,11,C Foy,Sunderland,2005
121,0,11,H,0,0,0,8,11,19/11/05,8,9,0,4,2.7,4,Everton,1,3,E0,2.62,2.9,2.3,11,H,0,2.5,6,D Gallagher,West Brom,2005
122,3,16,A,3,3,0,5,11,19/11/05,2,17,0,2,1.9,2,Arsenal,2,3.1,E0,4,3,3.7,13,A,3,1.83,8,G Poll,Wigan,2005
123,1,9,H,2,1,0,11,20,20/11/05,4,16,0,3,3.6,9,Fulham,0,3.1,E0,1.83,3,1.85,9,A,0,4,6,U Rennie,Middlesbrough,2005
124,0,16,D,1,1,0,8,15,20/11/05,7,13,0,1,4,9,West Ham,1,3.2,E0,1.61,3.3,1.75,8,H,3,5,4,A Wiley,Tottenham,2005
125,0,9,H,0,2,0,10,13,26/11/05,10,15,0,3,8,9,Blackburn,2,4.2,E0,1.28,4.5,1.3,15,H,1,8,9,C Foy,Arsenal,2005
126,0,9,H,0,2,0,10,16,26/11/05,3,12,0,1,3.1,10,Charlton,0,3,E0,2.2,3.1,2.1,5,D,2,2.87,3,M Clattenburg,Aston Villa,2005
127,0,13,A,1,2,0,1,3,26/11/05,4,13,0,0,2.5,6,Liverpool,0,3,E0,2.62,2.9,2.7,8,D,0,2.5,6,A Wiley,Man City,2005
128,1,22,A,2,1,0,2,6,26/11/05,1,7,0,0,1.4,2,Chelsea,0,3.9,E0,9,4.2,6.7,12,A,5,1.28,6,P Dowd,Portsmouth,2005
129,0,7,A,1,0,0,3,4,26/11/05,2,10,0,0,2.6,6,Birmingham,0,3,E0,2.62,3.1,2.4,10,D,0,2.37,7,U Rennie,Sunderland,2005
130,1,14,A,2,2,0,3,11,26/11/05,5,17,0,1,2.8,6,Tottenham,0,3,E0,2.5,3.1,2.4,7,A,0,2.5,5,M Riley,Wigan,2005
131,0,19,H,0,5,0,9,14,27/11/05,8,19,0,1,2.5,12,Newcastle,0,3,E0,2.62,3.1,2.5,16,D,1,2.37,10,H Webb,Everton,2005
